0,0,0
932.139,93213.9,0.002097
-1805.66,-180566,0.00432525
1562.3,156230,0.00404025
-1906.74,-190674,0.002433
2121.28,212128,0.000534
-1209.58,-120958,0.00116925
1415.79,141579,0.00431925
-2927.77,-292777,0.00453075
3296.95,329695,0.00217125
-3168.36,-316836,0.00093225
3674.37,367437,0.00112125
-3213.88,-321388,0.0034845
2381.65,238165,0.00501075
-3266.81,-326681,0.002673
4201.99,420199,0.000448501
-3711.59,-371159,0.00143175
3535.04,353504,0.00312075
-3443.61,-344361,0.00461775
2197.2,219720,0.003516
-1790.4,-179040,0.000525751
2826.42,282642,0.000782251
-2801.91,-280191,0.0034245
2007.64,200764,0.00433425
-1976.02,-197602,0.003528
1337.88,133788,0.0013575
-243.622,-24362.2,0.000213751
875.138,87513.8,0.00295275
-1898.35,-189835,0.00480975
1468.92,146892,0.00339825
-1251.71,-125171,0.00150975
1502.99,150299,0.000675751
-786.234,-78623.4,0.00201975
724.755,72475.5,0.0048375
-2260.81,-226081,0.0040605
2890.28,289028,0.00124425
-2468.31,-246831,0.000794251
2804.06,280406,0.002049
-2797.6,-279760,0.00407325
2128.97,212897,0.00460725
-2942.82,-294282,0.001806
4267.37,426737,0.000154501
-3946.9,-394690,0.00220425
3481.02,348102,0.00392625
-3616.99,-361700,0.00429375
2832.22,283222,0.00258975
-2344.37,-234437,0.000218251
3421.12,342112,0.00136725
-3702.92,-370292,0.00430425
2647.92,264792,0.004233
-2304.7,-230470,0.0025605
1961.25,196125,0.000888002
-906.256,-90625.6,0.000816752
1188.45,118845,0.00375375
-2265.04,-226504,0.00490275
1776.88,177688,0.00253125
-992.331,-99233.1,0.000827252
1128.36,112836,0.00119475
-662.241,-66224.1,0.00291675
342.045,34204.5,0.0049665
-1666.82,-166682,0.003315
2480.3,248030,0.000513752
-1811.6,-181160,0.00104775
1805.4,180540,0.003072
-2140.98,-214098,0.00432675
1718.95,171895,0.00387675
-2348.81,-234881,0.0010605
3884.75,388475,0.000283503
-3822.9,-382290,0.00310125
3106.32,310632,0.00444525
-3357.71,-335771,0.00361125
3140.25,314025,0.00172275
-2711.01,-271101,0.000311253
3734.47,373447,0.00216825
-4365.62,-436562,0.00490725
3271.21,327121,0.0037635
-2633.36,-263336,0.001593
2601.64,260164,0.000786752
-1807.24,-180724,0.0016965
1783.09,178309,0.00433875
-2819.07,-281907,0.00459525
2411.87,241187,0.001605
-1165.61,-116561,0.000503253
1074.38,107438,0.00200025
-897.597,-89759.7,0.00368925
407.33,40733,0.0046725
